school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Maryland,1934,10,7,3,0,,,3.8,,,,Curley,Byrd
Pacific,1972,11,8,3,0,,,-0.8,3.9,20.4,17.5,Chester,Caddas
Pacific,1973,10,7,2,1,,,-4.9,-2.1,22,24.1,Chester,Caddas
Pacific,1974,11,6,5,0,,,-8,-10,24.2,33.1,Chester,Caddas
Pacific,1975,12,5,6,1,,,-6.7,-2.8,24.4,27.3,Chester,Caddas
Pacific,1976,11,2,9,0,,,-23.5,-23.1,14.6,35.6,Chester,Caddas
Pacific,1977,11,6,5,0,,,1.5,-2.1,18.9,21,Chester,Caddas
Pacific,1978,12,4,8,0,,,-6.4,-6.7,23.8,30,Chester,Caddas
Colorado State,1981,6,0,6,0,,,-17.8,-20.2,24.9,41.4,Chester,Caddas
Mississippi State,1930,9,2,7,0,,,-15,,,,Red,Cagle
Army,1966,10,8,2,0,,,1.1,,,,Thomas,Cahill
Army,1967,10,8,2,0,,,3.6,,,,Thomas,Cahill
Army,1968,10,7,3,0,,,14.6,,,,Thomas,Cahill
Army,1969,10,4,5,1,,,0.8,,,,Thomas,Cahill
Army,1970,11,1,9,1,,,-3.9,-5.1,21.1,26.4,Thomas,Cahill
Army,1971,10,6,4,0,,,-3.7,-7.4,17.5,24.7,Thomas,Cahill
Army,1972,10,6,4,0,,,-3.9,-2.4,25.7,28.2,Thomas,Cahill
Army,1973,10,0,10,0,,,-18.5,-24.5,15.6,37.5,Thomas,Cahill
Princeton,1946,8,3,5,0,,,-3.2,,,,Charles,Caldwell
Princeton,1947,8,5,3,0,,,2.5,,,,Charles,Caldwell
Princeton,1948,8,4,4,0,,,10.3,,,,Charles,Caldwell
Princeton,1949,9,6,3,0,,18,2.7,,,,Charles,Caldwell
Princeton,1950,9,9,0,0,,6,15.1,,,,Charles,Caldwell
Princeton,1951,9,9,0,0,18,6,15.6,,,,Charles,Caldwell
Princeton,1952,9,8,1,0,14,19,12.3,,,,Charles,Caldwell
Princeton,1953,9,5,4,0,19,,-18.1,,,,Charles,Caldwell
Princeton,1954,9,5,3,1,,,-7.2,,,,Charles,Caldwell
Princeton,1955,9,7,2,0,,,-10.5,,,,Charles,Caldwell
Princeton,1956,9,7,2,0,,,-6.2,,,,Charles,Caldwell
Wake Forest,1993,11,2,9,0,,,-10.7,-17,22.3,37.1,Jim,Caldwell
Wake Forest,1994,11,3,8,0,,,-19,-21.3,20.2,38.8,Jim,Caldwell
Wake Forest,1995,11,1,10,0,,,-11.2,-15.9,23.7,37.1,Jim,Caldwell
Wake Forest,1996,11,3,8,0,,,-16.2,-18.9,20.7,37.4,Jim,Caldwell
Wake Forest,1997,11,5,6,0,,,1.4,-0.3,29.5,30,Jim,Caldwell
Wake Forest,1998,11,3,8,0,,,-4.3,-5.3,29,33.9,Jim,Caldwell
Wake Forest,1999,12,7,5,0,,,6.5,4,25.5,22.2,Jim,Caldwell
Wake Forest,2000,11,2,9,0,,,-15.2,-18.8,22.3,38.6,Jim,Caldwell
Vanderbilt,2010,12,2,10,0,,,-11,-10,20.5,29.4,Robbie,Caldwell
Air Force,2007,13,9,4,0,,,4.4,5.7,30.3,25.4,Troy,Calhoun
Air Force,2008,13,8,5,0,,,1,-0.7,23,24.6,Troy,Calhoun
Air Force,2009,13,8,5,0,,,6.7,4.7,21.3,17.4,Troy,Calhoun
Air Force,2010,13,9,4,0,,,6.6,3.9,30.5,24.7,Troy,Calhoun
Air Force,2011,13,7,6,0,,,-1.5,-0.7,32.9,33.9,Troy,Calhoun
Air Force,2012,13,6,7,0,,,-10.7,-10,28,36.2,Troy,Calhoun
Air Force,2013,12,2,10,0,,,-22.5,-16.9,26.6,45.2,Troy,Calhoun
Air Force,2014,13,10,3,0,,,-1.2,-1.4,26.2,29.5,Troy,Calhoun
Air Force,2015,14,8,6,0,,,0.2,4.7,32.6,29.2,Troy,Calhoun
Air Force,2016,13,10,3,0,,,1.2,4.4,33,29.9,Troy,Calhoun
Air Force,2017,12,5,7,0,,,-7.8,-11,28.8,40.5,Troy,Calhoun
Air Force,2018,12,5,7,0,,,-1.8,-1.8,29.2,31.2,Troy,Calhoun
Air Force,2019,13,11,2,0,,22,10.2,12.1,36.2,25.8,Troy,Calhoun
Air Force,2020,0,0,0,0,,,4.7,-5.6,24.1,29.8,Troy,Calhoun
Nebraska,2004,11,5,6,0,,,0.4,1.9,31.1,30.2,Bill,Callahan
Nebraska,2005,12,8,4,0,,24,7.6,10.3,24.2,13.8,Bill,Callahan
Nebraska,2006,14,9,5,0,20,,11.2,14.7,31.5,17.7,Bill,Callahan
Nebraska,2007,12,5,7,0,20,,1.4,10,39.1,31.2,Bill,Callahan
Cincinnati,1969,10,4,6,0,,,-18.6,,,,Ray,Callahan
Cincinnati,1970,11,7,4,0,,,-0.3,6.2,20.3,15.1,Ray,Callahan
Cincinnati,1971,11,7,4,0,,,-1,3.2,23.8,21.3,Ray,Callahan
Cincinnati,1972,11,2,9,0,,,-23.9,-24.4,15.4,37.2,Ray,Callahan
UAB,2007,12,2,10,0,,,-19.8,-21.7,17.8,41.2,Neil,Callaway
UAB,2008,12,4,8,0,,,-13.7,-10.3,24.5,35.4,Neil,Callaway
UAB,2009,12,5,7,0,,,-8.1,-6.8,30.4,36.9,Neil,Callaway
UAB,2010,12,4,8,0,,,-12.2,-9.7,26,33.2,Neil,Callaway
UAB,2011,12,3,9,0,,,-20.1,-19.2,22.9,42.8,Neil,Callaway
Oregon,1932,10,6,3,1,,,17.7,,,,Prink,Callison
Oregon,1933,10,9,1,0,,,17.2,,,,Prink,Callison
Oregon,1934,10,6,4,0,,,2.7,,,,Prink,Callison
Oregon,1935,9,6,3,0,,,8.9,,,,Prink,Callison
Oregon,1936,9,2,6,1,,,-2.9,,,,Prink,Callison
Oregon,1937,10,4,6,0,,,-2,,,,Prink,Callison
Indiana,1997,11,2,9,0,,,-10.4,-10.6,21.9,31.6,Cam,Cameron
Indiana,1998,11,4,7,0,,,0.2,1.5,30.9,30.4,Cam,Cameron
Indiana,1999,11,4,7,0,,,-1.2,-4.6,35.7,38.9,Cam,Cameron
Indiana,2000,11,3,8,0,,,-2.3,-2.2,40.8,41.8,Cam,Cameron
Indiana,2001,11,5,6,0,,,6.6,7.7,36.5,30.9,Cam,Cameron
Louisville,1962,10,6,4,0,,,-3.5,,,,Frank,Camp
Louisville,1963,10,3,7,0,,,-16.9,,,,Frank,Camp
Louisville,1964,10,1,9,0,,,-23.8,,,,Frank,Camp
Louisville,1965,10,6,4,0,,,-7.1,,,,Frank,Camp
Louisville,1966,10,6,4,0,,,-1.1,,,,Frank,Camp
Louisville,1967,10,5,5,0,,,0.2,,,,Frank,Camp
Louisville,1968,10,5,5,0,,,-20.9,,,,Frank,Camp
Yale,1888,13,13,0,0,,,,,,,Walter,Camp
Yale,1889,17,16,1,0,,,,,,,Walter,Camp
Yale,1890,14,13,1,0,,,,,,,Walter,Camp
Yale,1891,13,13,0,0,,,,,,,Walter,Camp
Yale,1892,13,13,0,0,,,,,,,Walter,Camp
Rutgers,2019,8,1,7,0,,,-16.7,-14.6,17.4,31.8,Nunzio,Campanile
Toledo,2011,1,1,0,0,,,6.3,6.2,36,30,Matt,Campbell
Toledo,2012,13,9,4,0,,,-2.7,-4,30.1,35.5,Matt,Campbell
Toledo,2013,12,7,5,0,,,0.2,4.7,35.8,33.4,Matt,Campbell
Toledo,2014,13,9,4,0,,,-4.1,2.3,38,35.2,Matt,Campbell
Toledo,2015,11,9,2,0,,,10.2,7.7,30.4,21.8,Matt,Campbell
Iowa State,2016,12,3,9,0,,,-1.7,0.7,27,28.5,Matt,Campbell
Iowa State,2017,13,8,5,0,,,14.3,7.5,38.2,30.7,Matt,Campbell
Iowa State,2018,13,8,5,0,,,11.4,7.9,29.9,21.5,Matt,Campbell
Iowa State,2019,13,7,6,0,21,,13.6,12.6,31.8,19.5,Matt,Campbell
Iowa State,2020,0,0,0,0,23,,14.2,13.3,34.5,21.1,Matt,Campbell
South Alabama,2018,12,3,9,0,,,-22.1,-17.7,24.5,42,Steve,Campbell
South Alabama,2019,12,2,10,0,,,-17.2,-20.3,16.3,34,Steve,Campbell
South Alabama,2020,0,0,0,0,,,-8.5,-11.3,22.5,33.7,Steve,Campbell
North Carolina,1916,9,5,4,0,,,2.4,,,,Thomas,Campbell
North Carolina,1919,8,4,3,1,,,-8.4,,,,Thomas,Campbell
Virginia,1922,9,4,4,1,,,6.8,,,,Thomas,Campbell
Maryland,2018,12,5,7,0,,,4,3,27.6,25.9,Matt,Canada
North Texas,2010,5,2,3,0,,,-15.5,-15.6,20.7,36.2,Mike,Canales
Toledo,2015,1,1,0,0,,,10.2,7.7,30.4,21.8,Jason,Candle
Toledo,2016,13,9,4,0,,,5,12.3,40.6,27.4,Jason,Candle
Toledo,2017,14,11,3,0,,,3.8,6.6,32.2,25.7,Jason,Candle
Toledo,2018,13,7,6,0,,,-1.6,2,35.2,34.4,Jason,Candle
Toledo,2019,12,6,6,0,,,-16.2,-13.7,25.6,38.4,Jason,Candle
Toledo,2020,0,0,0,0,,,,,,,Jason,Candle
Kansas,1926,8,2,6,0,,,-6.6,,,,Cappy,Cappon
Kansas,1927,8,3,4,1,,,-10.6,,,,Cappy,Cappon
San José State,2013,12,6,6,0,,,-5.6,-5.1,33,38.6,Ron,Caragher
San José State,2014,12,3,9,0,,,-15,-11.5,22.1,30.5,Ron,Caragher
San José State,2015,13,6,7,0,,,-6.9,-4.5,26.8,32,Ron,Caragher
San José State,2016,12,4,8,0,,,-17.2,-13.6,22.4,36.7,Ron,Caragher
Northern Illinois,2012,1,0,1,0,,22,5.1,12.4,35.6,25.4,Rod,Carey
Northern Illinois,2013,14,12,2,0,,,4.6,6.3,36.6,29.8,Rod,Carey
Northern Illinois,2014,14,11,3,0,,,-4.8,-0.6,29.8,29.6,Rod,Carey
Northern Illinois,2015,14,8,6,0,,,-0.1,-0.9,26.1,25.4,Rod,Carey
Northern Illinois,2016,12,5,7,0,,,-3.2,-2.4,32,32.7,Rod,Carey
Northern Illinois,2017,13,8,5,0,,,-0.1,-1.4,21,20.5,Rod,Carey
Northern Illinois,2018,14,8,6,0,,,-4.5,-2.7,19.1,20.8,Rod,Carey
Temple,2019,13,8,5,0,,,-2.7,3.2,24.6,20.8,Rod,Carey
Temple,2020,0,0,0,0,,,,,,,Rod,Carey
Missouri,1932,9,1,7,1,,,-11.9,,,,Frank,Carideo
Missouri,1933,9,1,8,0,,,-18.2,,,,Frank,Carideo
Missouri,1934,9,0,8,1,,,-13.9,,,,Frank,Carideo
Tulsa,1969,10,1,9,0,,,-13.6,,,,Vince,Carillot
West Virginia,1966,10,3,5,2,,,-8.3,,,,Jim,Carlen
West Virginia,1967,10,5,4,1,,,3,,,,Jim,Carlen
West Virginia,1968,10,7,3,0,,,3.8,,,,Jim,Carlen
West Virginia,1969,11,10,1,0,,17,9.2,,,,Jim,Carlen
Texas Tech,1970,12,8,4,0,,,13.2,8.5,22.7,15,Jim,Carlen
Texas Tech,1971,11,4,7,0,,,2.2,-0.7,13.1,14,Jim,Carlen
Texas Tech,1972,12,8,4,0,,,12.4,12.8,29.6,17.4,Jim,Carlen
Texas Tech,1973,12,11,1,0,20,11,20,20.5,36.1,17,Jim,Carlen
Texas Tech,1974,12,6,4,2,,,10.2,11.1,22,11.6,Jim,Carlen
South Carolina,1975,12,7,5,0,,,5.5,5.1,32.6,29,Jim,Carlen
South Carolina,1976,11,6,5,0,,,10.5,8.9,22,13.9,Jim,Carlen
South Carolina,1977,12,5,7,0,,,5.4,6.8,23.6,17.7,Jim,Carlen
South Carolina,1978,11,5,5,1,,,7.2,7.7,26.3,19.4,Jim,Carlen
South Carolina,1979,12,8,4,0,,,11.3,16,29.9,15,Jim,Carlen
South Carolina,1980,12,8,4,0,,,15.3,19.5,36.2,18.7,Jim,Carlen
South Carolina,1981,12,6,6,0,,,8.5,9.2,26.6,18.1,Jim,Carlen
Southern Mississippi,1982,11,7,4,0,,,14.7,16.1,33.6,19,Jim,Carmody
Southern Mississippi,1983,11,7,4,0,,,11.6,10.1,23.8,14.3,Jim,Carmody
Southern Mississippi,1984,11,4,7,0,,,-4.3,-14.3,18.8,31.8,Jim,Carmody
Southern Mississippi,1985,11,7,4,0,,,5.3,-1.2,24,25.4,Jim,Carmody
Southern Mississippi,1986,11,6,5,0,,,-7,-10.2,19.7,29,Jim,Carmody
Southern Mississippi,1987,11,6,5,0,,,-0.1,-0.6,32.6,33.5,Jim,Carmody
Michigan,1995,13,9,4,0,14,17,17.4,20,35.3,16.5,Lloyd,Carr
Michigan,1996,12,8,4,0,14,20,15.2,18.6,31.4,14.1,Lloyd,Carr
Michigan,1997,12,12,0,0,14,1,21.5,26.4,34.2,8.3,Lloyd,Carr
Michigan,1998,13,10,3,0,5,12,14.1,19,35.9,18.9,Lloyd,Carr
Michigan,1999,12,10,2,0,8,5,19,24.6,41.7,18.9,Lloyd,Carr
Michigan,2000,12,9,3,0,6,11,16,19.1,40.1,23.7,Lloyd,Carr
Michigan,2001,12,8,4,0,12,20,13.2,19.2,36.6,19.1,Lloyd,Carr
Michigan,2002,13,10,3,0,12,9,13.8,21,39.1,19.1,Lloyd,Carr
Michigan,2003,13,10,3,0,4,6,20.4,24,42.4,20,Lloyd,Carr
Michigan,2004,12,9,3,0,8,14,13.2,17.5,40.3,25.5,Lloyd,Carr
Michigan,2005,12,7,5,0,4,,17.9,18.1,33.9,15.8,Lloyd,Carr
Michigan,2006,13,11,2,0,14,8,18.2,22.6,32.3,9.9,Lloyd,Carr
Michigan,2007,13,9,4,0,5,18,11.6,13.3,32.5,18.1,Lloyd,Carr
USC,2001,12,6,6,0,,,11.1,13.7,31.9,18.9,Pete,Carroll
USC,2002,13,11,2,0,20,4,28.9,34.5,47.7,15.5,Pete,Carroll
USC,2003,13,12,1,0,8,1,25,30.1,49.4,21.5,Pete,Carroll
USC,2004,13,13,0,0,1,1,34.1,32.3,45.2,14.3,Pete,Carroll
USC,2005,13,12,1,0,1,2,32.6,34.7,51.6,16.9,Pete,Carroll
USC,2006,13,11,2,0,6,4,23.3,30.3,37.8,9.3,Pete,Carroll
USC,2007,13,11,2,0,1,3,20.2,32,39,7.7,Pete,Carroll
USC,2008,13,12,1,0,3,3,28,37,44.4,7.2,Pete,Carroll
USC,2009,13,9,4,0,4,22,8.4,16.6,35.2,17.4,Pete,Carroll
Georgia Tech,1967,10,4,6,0,,,2.3,,,,Bud,Carson
Georgia Tech,1968,10,4,6,0,,,-2.1,,,,Bud,Carson
Georgia Tech,1969,10,4,6,0,,,4,,,,Bud,Carson
Georgia Tech,1970,12,9,3,0,,13,14,19,28.6,10.8,Bud,Carson
Georgia Tech,1971,12,6,6,0,17,,8.7,10.3,25.2,15.6,Bud,Carson
Santa Clara,1946,8,2,5,1,,,-12.6,,,,Len,Casanova
Santa Clara,1947,8,4,4,0,,,-2.2,,,,Len,Casanova
Santa Clara,1948,10,7,2,1,,,9.8,,,,Len,Casanova
Santa Clara,1949,11,8,2,1,,15,21.1,,,,Len,Casanova
Pittsburgh,1950,9,1,8,0,,,-4.9,,,,Len,Casanova
Oregon,1951,10,2,8,0,,,-12.2,,,,Len,Casanova
Oregon,1952,10,2,7,1,,,-6.2,,,,Len,Casanova
Oregon,1953,10,4,5,1,,,-2.8,,,,Len,Casanova
Oregon,1954,10,6,4,0,18,,3,,,,Len,Casanova
Oregon,1955,10,6,4,0,,,6.4,,,,Len,Casanova
Oregon,1956,10,4,4,2,,,12,,,,Len,Casanova
Oregon,1957,11,7,4,0,,,10,,,,Len,Casanova
Oregon,1958,10,4,6,0,,,9.1,,,,Len,Casanova
Oregon,1959,10,8,2,0,,,10.8,,,,Len,Casanova
Oregon,1960,11,7,3,1,,,6.5,,,,Len,Casanova
Oregon,1961,10,4,6,0,,,4.3,,,,Len,Casanova
Oregon,1962,10,6,3,1,,,14.4,,,,Len,Casanova
Oregon,1963,11,8,3,0,,,13.6,,,,Len,Casanova
Oregon,1964,10,7,2,1,,,13.3,,,,Len,Casanova
Oregon,1965,10,4,5,1,,,1.1,,,,Len,Casanova
Oregon,1966,10,3,7,0,,,0,,,,Len,Casanova
Colorado State,1910,5,0,5,0,,,-31.1,,,,George,Cassidy
Arizona,1939,10,6,4,0,,,-9.7,,,,Miles,Casteel
Arizona,1940,9,7,2,0,,,-1.8,,,,Miles,Casteel
Arizona,1941,10,7,3,0,,,-7.4,,,,Miles,Casteel
Arizona,1942,10,6,4,0,,,-7.1,,,,Miles,Casteel
Arizona,1946,10,4,4,2,,,-12.8,,,,Miles,Casteel
Arizona,1947,10,5,4,1,,,-7.4,,,,Miles,Casteel
Arizona,1948,11,6,5,0,,,-14.6,,,,Miles,Casteel
Colorado,1906,9,2,3,4,,,-14.7,,,,Frank,Castleman
Colorado,1907,8,5,3,0,,,-8.2,,,,Frank,Castleman
Iowa,1906,5,2,3,0,,,0.7,,,,Mark,Catlin
Iowa,1907,5,3,2,0,,,5.5,,,,Mark,Catlin
Iowa,1908,7,2,5,0,,,-8,,,,Mark,Catlin
New Mexico State,1955,10,3,7,0,,,-28,,,,Tony,Cavallo
New Mexico State,1956,10,1,9,0,,,-24.4,,,,Tony,Cavallo
New Mexico State,1957,10,3,7,0,,,-22.5,,,,Tony,Cavallo
SMU,1997,11,6,5,0,,,-2.1,1.2,27.2,26.7,Mike,Cavan
SMU,1998,12,5,7,0,,,-2.9,-2.2,22.6,25,Mike,Cavan
SMU,1999,10,4,6,0,,,-14.1,-15,16.5,30.7,Mike,Cavan
SMU,2000,12,3,9,0,,,-17,-19,17.8,35.3,Mike,Cavan
SMU,2001,11,4,7,0,,,-12.8,-14.5,22.7,34.8,Mike,Cavan
Army,1980,11,3,7,1,,,-5.8,-4.7,25.4,30,Ed,Cavanaugh
Army,1981,11,3,7,1,,,-10.6,-6.2,14.9,20.6,Ed,Cavanaugh
Army,1982,11,4,7,0,,,-13.1,-18.1,14.9,32.6,Ed,Cavanaugh
Holy Cross,1903,10,8,2,0,,,11.3,,,,Frank,Cavanaugh
Holy Cross,1904,9,2,5,2,,,7.5,,,,Frank,Cavanaugh
Holy Cross,1905,9,6,3,0,,,-8.4,,,,Frank,Cavanaugh
Dartmouth,1912,9,7,2,0,,,21.5,,,,Frank,Cavanaugh
Dartmouth,1913,8,7,1,0,,,19.2,,,,Frank,Cavanaugh
Dartmouth,1914,9,8,1,0,,,32.2,,,,Frank,Cavanaugh
Dartmouth,1915,9,7,1,1,,,12.6,,,,Frank,Cavanaugh
Dartmouth,1916,9,5,2,2,,,17.5,,,,Frank,Cavanaugh
Boston College,1919,8,5,3,0,,,9.8,,,,Frank,Cavanaugh
Fordham,1928,9,4,5,0,,,4.5,,,,Frank,Cavanaugh
Fordham,1929,9,7,0,2,,,15.4,,,,Frank,Cavanaugh
Fordham,1930,9,8,1,0,,,11.1,,,,Frank,Cavanaugh
Fordham,1931,9,6,1,2,,,16.2,,,,Frank,Cavanaugh
Fordham,1932,8,6,2,0,,,12,,,,Frank,Cavanaugh
Texas Tech,1932,12,10,2,0,,,1.5,,,,Pete,Cawthon
Texas Tech,1933,9,8,1,0,,,7.3,,,,Pete,Cawthon
Texas Tech,1934,10,7,2,1,,,4,,,,Pete,Cawthon
Texas Tech,1935,10,5,3,2,,,-1.1,,,,Pete,Cawthon
Texas Tech,1936,10,5,4,1,,,-1.8,,,,Pete,Cawthon
Texas Tech,1937,12,8,4,0,,,1.3,,,,Pete,Cawthon
Texas Tech,1938,11,10,1,0,,11,4,,,,Pete,Cawthon
Texas Tech,1939,11,5,5,1,,,-7.4,,,,Pete,Cawthon
Texas Tech,1940,11,9,1,1,,,-0.3,,,,Pete,Cawthon
Coastal Carolina,2017,12,3,9,0,,,-17.4,,,,Jamey,Chadwell
Coastal Carolina,2019,12,5,7,0,,,-11.1,-12.8,23.4,35.3,Jamey,Chadwell
Coastal Carolina,2020,0,0,0,0,,,13.9,6.6,33.7,27.3,Jamey,Chadwell
Mississippi State,1909,9,5,4,0,,,-3.7,,,,William,Chadwick
Mississippi State,1910,9,7,2,0,,,3.1,,,,William,Chadwick
Mississippi State,1911,10,7,2,1,,,-1,,,,William,Chadwick
Mississippi State,1912,7,4,3,0,,,-10.5,,,,William,Chadwick
Mississippi State,1913,8,6,1,1,,,-4.7,,,,William,Chadwick
Iowa,1903,11,9,2,0,,,3.3,,,,John,Chalmers
Iowa,1904,11,7,4,0,,,1.2,,,,John,Chalmers
Iowa,1905,10,8,2,0,,,18.1,,,,John,Chalmers
Tennessee,2012,1,1,0,0,,,4.2,15.1,42.6,28.3,Jim,Chaney
Navy,1990,11,5,6,0,,,-11.8,-13.3,23.5,34.4,George,Chaump
Navy,1991,11,1,10,0,,,-19.5,-19.7,15.9,34.6,George,Chaump
Navy,1992,11,1,10,0,,,-13.4,-16.9,16.6,33,George,Chaump
Navy,1993,11,4,7,0,,,-18.8,-20.2,19.8,37.7,George,Chaump
Navy,1994,11,3,8,0,,,-20.1,-20.2,26.6,42.4,George,Chaump
Washington,1953,10,3,6,1,,,-1.7,,,,John,Cherberg
Washington,1954,10,2,8,0,,,-9,,,,John,Cherberg
Washington,1955,10,5,4,1,,,10.8,,,,John,Cherberg
Texas,1947,11,10,1,0,,5,32.3,,,,Blair,Cherry
Texas,1948,11,7,3,1,,,17,,,,Blair,Cherry
Texas,1949,10,6,4,0,,,24.3,,,,Blair,Cherry
Texas,1950,11,9,2,0,5,3,22.5,,,,Blair,Cherry
Texas,1934,10,7,2,1,,,13.9,,,,Jack,Chevigny
Texas,1935,10,4,6,0,,,7.6,,,,Jack,Chevigny
Texas,1936,9,2,6,1,,,8.3,,,,Jack,Chevigny
Indiana,1914,7,3,4,0,,,5.3,,,,Clarence,Childs
Indiana,1915,7,3,3,1,,,8.4,,,,Clarence,Childs
Iowa State,2007,12,3,9,0,,,-6.6,-9.1,20.6,28,Gene,Chizik
Iowa State,2008,12,2,10,0,,,-10.2,-2.8,29.2,33.2,Gene,Chizik
Auburn,2009,13,8,5,0,,,10.7,17.4,35.6,19.6,Gene,Chizik
Auburn,2010,14,14,0,0,22,1,23.9,26.5,49.4,22.7,Gene,Chizik
Auburn,2011,13,8,5,0,23,,1.5,9,31.2,24,Gene,Chizik
Auburn,2012,12,3,9,0,,,-1.6,4.8,28,25.1,Gene,Chizik
Eastern Michigan,1976,11,2,9,0,,,-22.3,-13,22.7,33.9,Ed,Chlebek
Eastern Michigan,1977,11,8,3,0,,,-8.5,-2,20.4,22.5,Ed,Chlebek
Boston College,1978,11,0,11,0,,,-11.1,-20.1,15.7,34.6,Ed,Chlebek
Boston College,1979,11,5,6,0,,,0,-0.5,23.3,23.5,Ed,Chlebek
Boston College,1980,11,7,4,0,,,6.4,14.7,28.6,14.2,Ed,Chlebek
Kent State,1981,11,4,7,0,,,-13.1,-9.4,12.7,21,Ed,Chlebek
Kent State,1982,11,0,11,0,,,-28.1,-17.2,10.9,28.1,Ed,Chlebek
Hawai'i,2012,12,3,9,0,,,-20.5,-19.1,14.7,32.8,Norm,Chow
Hawai'i,2013,12,1,11,0,,,-12.6,-14.3,23.4,35.6,Norm,Chow
Hawai'i,2014,13,4,9,0,,,-11.7,-15,15.7,30.6,Norm,Chow
Hawai'i,2015,9,2,7,0,,,-21.7,-16.3,16.6,35.1,Norm,Chow
Wyoming,2009,13,7,6,0,,,-8.7,-14.4,16.9,30.9,Dave,Christensen
Wyoming,2010,12,3,9,0,,,-10.4,-13,20,33.9,Dave,Christensen
Wyoming,2011,13,8,5,0,,,-7.6,-14.2,24.3,36.7,Dave,Christensen
Wyoming,2012,12,4,8,0,,,-11.1,-14.2,26.6,39.2,Dave,Christensen
Wyoming,2013,12,5,7,0,,,-14.8,-15.3,26.7,39.1,Dave,Christensen
Stanford,1972,11,6,5,0,20,,12.7,12.8,30.1,18.3,Jack,Christiansen
Stanford,1973,11,7,4,0,,,12.7,12.2,32.2,21,Jack,Christiansen
Stanford,1974,11,5,4,2,,,4.2,7.1,26.3,20,Jack,Christiansen
Stanford,1975,11,6,4,1,20,,8.3,9,37.2,30.1,Jack,Christiansen
Stanford,1976,11,6,5,0,,,5.1,8.6,32.6,25.7,Jack,Christiansen
Pittsburgh,2012,13,6,7,0,,,7.1,5.7,27.5,21.5,Paul,Chryst
Pittsburgh,2013,13,7,6,0,,,2.6,9.4,32.9,22.3,Paul,Chryst
Pittsburgh,2014,12,6,6,0,,,2.8,14.1,37.4,25.3,Paul,Chryst
Wisconsin,2015,13,10,3,0,20,21,10,15.1,27,12.4,Paul,Chryst
Wisconsin,2016,14,11,3,0,,9,17.9,16.1,30.5,14.8,Paul,Chryst
Wisconsin,2017,14,13,1,0,9,7,24.7,26.8,37.4,11.6,Paul,Chryst
Wisconsin,2018,13,8,5,0,4,,8.8,15.5,39.3,21.6,Paul,Chryst
Wisconsin,2019,14,10,4,0,19,11,19.9,20.3,37.7,16.4,Paul,Chryst
Wisconsin,2020,0,0,0,0,12,,9.5,26.5,38.7,12.2,Paul,Chryst
Purdue,1897,9,5,3,1,,,-29.7,,,,Bill,Church
West Virginia,1976,11,5,6,0,,,4.7,8.5,24.7,17.2,Frank,Cignetti
West Virginia,1977,11,5,6,0,,,5.6,6.4,30.5,25.8,Frank,Cignetti
West Virginia,1978,11,2,9,0,,,-11.4,-14.8,23.3,35.4,Frank,Cignetti
West Virginia,1979,11,5,6,0,,,-0.4,1,26.2,25.5,Frank,Cignetti
Buffalo,1999,11,0,11,0,,,-31.9,-34.8,18.3,45.2,Craig,Cirbus
Buffalo,2000,11,2,9,0,,,-27.9,-30.4,20.8,44.5,Craig,Cirbus
Minnesota,2015,6,2,4,0,,,0.2,8.1,28.1,22.4,Tracy,Claeys
Minnesota,2016,13,9,4,0,,,9,12.6,27.8,17.5,Tracy,Claeys
Virginia Tech,1961,9,4,5,0,,,-9.1,,,,Jerry,Claiborne
Virginia Tech,1962,10,5,5,0,,,-4.4,,,,Jerry,Claiborne
Virginia Tech,1963,10,8,2,0,,,5.3,,,,Jerry,Claiborne
Virginia Tech,1964,10,6,4,0,,,2,,,,Jerry,Claiborne
Virginia Tech,1965,10,7,3,0,,,-2.8,,,,Jerry,Claiborne
Virginia Tech,1966,11,8,2,1,,,7.3,,,,Jerry,Claiborne
Virginia Tech,1967,10,7,3,0,,,5.6,,,,Jerry,Claiborne
Virginia Tech,1968,11,7,4,0,,,9.3,,,,Jerry,Claiborne
Virginia Tech,1969,10,4,5,1,,,2.2,,,,Jerry,Claiborne
Virginia Tech,1970,11,5,6,0,,,-10.1,-9.4,19.1,27.7,Jerry,Claiborne
Maryland,1972,11,5,5,1,,,1.6,1.5,25.9,25,Jerry,Claiborne
Maryland,1973,12,8,4,0,,20,16.7,16.6,31.4,16,Jerry,Claiborne
Maryland,1974,12,8,4,0,14,13,21.7,23.7,32.2,9.1,Jerry,Claiborne
Maryland,1975,12,9,2,1,17,13,13.4,15.3,30.1,15.6,Jerry,Claiborne
Maryland,1976,12,11,1,0,12,8,19.1,22.7,30.9,9.1,Jerry,Claiborne
Maryland,1977,12,8,4,0,10,,12,11.3,26.8,16.3,Jerry,Claiborne
Maryland,1978,12,9,3,0,,20,13.5,17,29.2,13.1,Jerry,Claiborne
Maryland,1979,11,7,4,0,,,12.6,16.6,25.6,10,Jerry,Claiborne
Maryland,1980,12,8,4,0,,,12.3,14.2,25.2,11.3,Jerry,Claiborne
Maryland,1981,11,4,6,1,,,12.1,10.8,28.4,18.3,Jerry,Claiborne
Kentucky,1982,11,0,10,1,,,-7.1,-11.8,15,26.1,Jerry,Claiborne
Kentucky,1983,12,6,5,1,,,4.7,6.9,26.3,20.2,Jerry,Claiborne
